keyword,word_type,total_count,avg_tfidf,primary_category,word_length
连衣裙,品类词,25,1.055,女装,3
夏季,季节词,23,1.0648,女装,2
显瘦,修饰词,18,1.1662,女装,2
新款,修饰词,17,0.9513,女装,2
零食,品类词,17,1.3592,零食特产,2
短袖,属性词,16,1.1534,女装,2
收腰,属性词,15,1.0656,女装,2
休闲,修饰词,14,1.1781,零食,2
儿童,人群词,14,1.1583,美妆配饰,2
气质,修饰词,13,1.1548,女装,2
薄款,属性词,13,1.6851,外套,2
法式,修饰词,12,0.854,女装,2
宽松,属性词,12,0.867,T恤,2
婴儿,人群词,12,1.3188,母婴,2
宝宝,人群词,12,0.7461,母婴,2
纯棉,属性词,11,1.4784,T恤,2
裙子,品类词,10,0,女装,2
透气,属性词,10,1.3408,运动鞋,2
女夏,其他,9,1.7995,连衣裙,2
防滑,功能词,9,2.0342,拖鞋,2
加厚,属性词,9,1.5643,家居日用,2
学生,人群词,9,1.106,美妆配饰,2
2026,其他,8,0.9305,女装,4
新生儿,人群词,8,1.2415,母婴,3
玩具,品类词,8,1.1023,母婴,2
保湿,功能词,8,1.2271,面膜,2
T恤,品类词,8,1.6545,T恤,2
外套,其他,8,1.3704,外套,2
碎花,属性词,7,1.4213,女装,2
春秋,季节词,7,1.0632,外套,2
大容量,属性词,7,1.9391,背包,3
百搭,修饰词,6,1.5765,T恤,2
温柔,修饰词,6,0,女装,2
长裙,品类词,6,0.9562,女装,2
健身,其他,6,1.4667,瑜伽垫,2
专用,其他,6,1.0457,美妆配饰,2
可爱,修饰词,6,1.0774,家居日用,2
家用,其他,6,2.0465,家居日用,2
便携,属性词,6,2.1338,保温杯,2
坚果,品类词,6,2.1616,零食特产,2
爆款,其他,6,2.4772,零食,2
跑步,其他,6,1.7235,运动鞋,2
2025,其他,5,0.8933,女装,4
方领,属性词,5,0.931,女装,2
复古,修饰词,5,1.0474,女装,2
防水,属性词,5,1.1783,防晒霜,2
垃圾袋,品类词,5,4.6821,垃圾袋,3
ins,其他,5,1.5075,T恤,3
美甲,品类词,5,1.5485,美妆配饰,2
面膜,品类词,5,1.1833,面膜,2
补水,功能词,5,1.1499,面膜,2
夹克,其他,5,1.5891,夹克,2
短裤,其他,5,1.7654,短裤,2
男士,其他,5,1.5086,夹克,2
快充,其他,5,2.63,手机配件,2
手机壳,品类词,5,4.2639,手机配件,3
防摔,功能词,5,2.3511,手机配件,2
500g,其他,5,1.6794,零食特产,4
设计感,修饰词,4,0.9223,女装,3
甜美,修饰词,4,0.7128,女装,2
衬衫,其他,4,1.2499,衬衫,2
雪纺,属性词,4,1.6367,女装,2
印花,属性词,4,0.8591,女装,2
高腰,属性词,4,1.7719,半身裙,2
新中式,修饰词,4,0.9032,女装,3
早教,功能词,4,1.1473,母婴,2
婴幼儿,人群词,4,0.9693,母婴,3
益智,功能词,4,1.1846,母婴,2
新生,其他,4,0.8265,母婴,2
耐用,修饰词,4,1.6738,家居日用,2
厨房,其他,4,1.906,家居日用,2
成人,其他,4,1.1521,跳绳,2
整箱,其他,4,1.2463,零食,2
水杯,其他,4,2.4111,保温杯,2
持久,功能词,4,1.2154,美妆配饰,2
韩版,修饰词,4,1.779,外套,2
运动,其他,4,0.8718,手机配件,2
保温杯,其他,4,2.9717,保温杯,3
数据线,品类词,4,3.0216,手机配件,3
清洁,其他,4,0.9986,面膜,2
洗面奶,其他,4,3.8081,洗面奶,3
小吃,其他,4,1.4129,零食特产,2
奶瓶,品类词,4,3.0229,奶瓶,2
运动鞋,其他,4,1.9658,运动鞋,3
瑜伽,其他,4,3.7222,瑜伽垫,2
背包,其他,4,1.6238,背包,2
拼接,属性词,3,0,女装,2
赫本,修饰词,3,0.8957,女装,2
显白,修饰词,3,1.2553,女装,2
修身,属性词,3,1.1391,女装,2
摇铃,品类词,3,1.4771,母婴,2
衣服,其他,3,0.9419,母婴,2
夏装,其他,3,1.4289,母婴,2
男女,人群词,3,0.8543,母婴,2
神器,其他,3,0.82,母婴,2
贴纸,品类词,3,0.9894,家居日用,2
女孩,其他,3,0,家居日用,2
独立,其他,3,0.9136,家居日用,2
套装,其他,3,1.0629,家居日用,2
滋润,其他,3,1.0704,美妆配饰,2
清爽,其他,3,1.0172,防晒霜,2
眉刀,品类词,3,2.9887,美妆配饰,2
半身裙,品类词,3,2.0304,半身裙,3
牛仔,其他,3,1.736,半身裙,2
短裙,品类词,3,1.7723,半身裙,2
速干,其他,3,1.8027,短裤,2
潮牌,其他,3,1.5655,T恤,2
春秋季,其他,3,1.7489,夹克,3
工装,其他,3,1.7094,夹克,2
商务,其他,3,0.9715,衬衫,2
长袖,其他,3,1.4469,衬衫,2
衬衣,其他,3,1.287,衬衫,2
潮流,其他,3,1.1473,夹克,2
拖鞋,其他,3,2.3042,拖鞋,2
收纳盒,其他,3,2.8616,收纳盒,3
苹果,其他,3,1.4889,手机配件,2
全包,其他,3,2.1253,手机配件,2
超薄,属性词,3,2.1142,纸尿裤,2
充电宝,品类词,3,2.7894,手机配件,3
收缩,其他,3,0.8774,面膜,2
毛孔,其他,3,1.1316,面膜,2
控油,功能词,3,1.5013,洗面奶,2
祛痘,其他,3,1.8264,洗面奶,2
SPF50,其他,3,1.6367,防晒霜,5
口红,品类词,3,1.6333,口红,2
混合,其他,3,0.8946,零食特产,2
辣条,其他,3,1.7315,零食特产,2
饼干,品类词,3,1.3734,零食特产,2
食品,其他,3,0.8504,零食特产,2
特产,其他,3,1.5748,零食特产,2
尿不湿,其他,3,3.1332,纸尿裤,3
PPSU,其他,3,2.2581,奶瓶,4
宽口径,其他,3,2.2581,奶瓶,3
轻便,属性词,3,1.532,运动鞋,2
减震,其他,3,1.9478,运动鞋,2
跳绳,其他,3,1.8797,跳绳,2
减肥,其他,3,1.4101,跳绳,2
旅行,其他,3,1.4157,背包,2
书包,其他,3,1.6635,背包,2
通勤,修饰词,2,0.9315,女装,2
黑色,其他,2,0,女装,2
碎花裙,品类词,2,1.3137,女装,3
仙女,其他,2,1.3945,女装,2
清新,修饰词,2,0,女装,2
花边,其他,2,0,女装,2
中长款,属性词,2,0.9196,女装,3
MOHO,其他,2,0.8868,女装,4
MO,其他,2,0.8868,女装,2
沫晗,其他,2,0.8868,女装,2
依美,其他,2,0.8868,女装,2
遮肚,修饰词,2,0.9251,女装,2
小个子,修饰词,2,1.3763,女装,3
公主裙,品类词,2,1.9925,女装,3
A字裙,品类词,2,0.9962,女装,3
吊带,属性词,2,0.8834,女装,2
蓝色,其他,2,0,女装,2
盘扣,属性词,2,0.8868,女装,2
改良,属性词,2,0,女装,2
开衫,品类词,2,1.5721,女装,2
两件套,属性词,2,1.352,女装,3
旗袍,品类词,2,0,女装,2
设计,其他,2,0,女装,2
蓝莓,其他,2,0.8868,女装,2
公主,其他,2,0,女装,2
清凉,其他,2,0,女装,2
长款,属性词,2,0.9962,女装,2
条纹,属性词,2,0,女装,2
蕾丝,属性词,2,0.9579,女装,2
礼盒,其他,2,0.8573,母婴,2
礼物,其他,2,0,母婴,2
食品级,属性词,2,1.211,母婴,3
月龄,其他,2,1.0622,母婴,2
12,其他,2,1.0959,母婴,2
幼儿园,其他,2,0.7169,母婴,3
连体衣,其他,2,1.456,母婴,3
三角,其他,2,0.8006,母婴,2
婴蓓,其他,2,1.0032,母婴,2
毛绒,其他,2,1.0104,母婴,2
毛巾,其他,2,0,母婴,2
手账,其他,2,0.9579,家居日用,2
花盆,品类词,2,1.4082,家居日用,2
柔软,其他,2,0.655,家居日用,2
迷你,其他,2,1.6295,家居日用,2
冰箱,其他,2,2.1124,家居日用,2
收纳,其他,2,1.4467,家居日用,2
软毛,属性词,2,1.8629,家居日用,2
包装,其他,2,0,家居日用,2
加粗,其他,2,1.5862,家居日用,2
爆闪,其他,2,1.0032,家居日用,2
diy,其他,2,0.9196,家居日用,3
儿童玩具,其他,2,1.6059,家居日用,4
宿舍,其他,2,0,零食,2
口味,其他,2,1.2121,零食,2
网红,其他,2,1.4232,零食,2
即食,功能词,2,1.3137,零食,2
解馋,功能词,2,0.9093,零食,2
原味,其他,2,0.8922,零食,2
长条,其他,2,0.8705,零食,2
孕妇,人群词,2,0.9802,零食,2
巧克力,品类词,2,1.8493,零食,3
棉花,其他,2,0,零食,2
打磨,其他,2,1.6429,美妆配饰,2
指甲,其他,2,0.6835,美妆配饰,2
双头,其他,2,1.4917,美妆配饰,2
修复,其他,2,1.2648,美妆配饰,2
哑光,功能词,2,1.3137,美妆配饰,2
初学者,其他,2,1.6172,美妆配饰,3
上衣,其他,2,1.2114,T恤,2
打底,其他,2,1.6308,T恤,2
冰丝,其他,2,1.8501,短裤,2
五分裤,其他,2,1.8501,短裤,3
半袖,其他,2,1.6217,T恤,2
格纹,其他,2,1.6011,衬衫,2
不锈钢,其他,2,2.06,保温杯,3
居家,其他,2,2.0742,拖鞋,2
透明,其他,2,1.5951,收纳盒,2
衣物,其他,2,1.7415,收纳盒,2
整理,其他,2,1.2609,收纳盒,2
整理盒,其他,2,2.6898,收纳盒,3
液态,其他,2,1.4709,手机配件,2
硅胶,其他,2,1.7942,手机配件,2
无线,其他,2,1.7042,手机配件,2
蓝牙耳机,品类词,2,2.1917,手机配件,4
入耳式,其他,2,2.6898,手机配件,3
磨砂,其他,2,2.2534,手机配件,2
温和,其他,2,1.1058,洗面奶,2
防晒霜,品类词,2,1.5182,防晒霜,3
油腻,其他,2,1.2423,防晒霜,2
不沾杯,其他,2,1.8501,口红,3
美白,功能词,2,1.7434,面膜,2
黑头,其他,2,1.5173,面膜,2
防晒,其他,2,1.6198,防晒霜,2
每日,其他,2,0.8504,零食特产,2
大礼包,其他,2,1.5903,零食特产,3
包邮,其他,2,1.6011,零食特产,2
水果,其他,2,0.9499,零食特产,2
果脯,其他,2,1.4062,零食特产,2
葡萄干,其他,2,3.0636,零食特产,3
无核,其他,2,1.5509,零食特产,2
组合装,其他,2,2.1513,零食特产,3
纸尿裤,品类词,2,2.044,纸尿裤,3
胀气,其他,2,2.1672,奶瓶,2
童装,其他,2,1.7667,童装,2
特价,其他,2,2.602,纸尿裤,2
女童,其他,2,2.1173,童装,2
双肩,其他,2,1.6489,背包,2
双肩包,其他,2,2.391,背包,3
唐狮,其他,1,0.9196,女装,2
圆领,属性词,1,0.7731,女装,2
下摆,其他,1,0,女装,2
凡兔,其他,1,0.9196,女装,2
初恋,其他,1,0.7518,女装,2
名媛,修饰词,1,0.875,女装,2
绿色,其他,1,0,女装,2
斜裁,其他,1,0.8539,女装,2
淑女,其他,1,0.721,女装,2
高级感,修饰词,1,0.9962,女装,3
时尚,修饰词,1,0,女装,2
小黑裙,其他,1,1.1584,女装,3
森系,修饰词,1,0.8539,女装,2
桔梗,其他,1,0.6845,女装,2
子女,其他,1,0,女装,2
多巴胺,其他,1,0,女装,3
海边,其他,1,0,女装,2
渡假,其他,1,1.0091,女装,2
吊带裙,品类词,1,1.0429,女装,3
翻领,其他,1,0.8848,女装,2
小众,修饰词,1,0.8217,女装,2
遮肉,修饰词,1,0.9196,女装,2
微胖,其他,1,0.8154,女装,2
mm,其他,1,0.8539,女装,2
绣花,其他,1,0,女装,2
A字,属性词,1,0.8539,女装,2
波点,属性词,1,0.9196,女装,2
鱼尾裙,品类词,1,0.9196,女装,3
内衬,其他,1,0.8217,女装,2
晚风,其他,1,0.8645,女装,2
清梦,其他,1,0.9962,女装,2
杏色,其他,1,0.9962,女装,2
度假,其他,1,0,女装,2
简约,其他,1,0,女装,2
光泽感,其他,1,1.016,女装,3
蓝岛,其他,1,1.1006,女装,2
续歌,其他,1,0.9962,女装,2
幻紫,其他,1,0.9196,女装,2
流云,其他,1,0.8187,女装,2
国风,其他,1,0.7818,女装,2
暗纹,其他,1,0.9196,女装,2
琉光,其他,1,0.9196,女装,2
纱裙,其他,1,0.9196,女装,2
淡雅,其他,1,0,女装,2
风杏色,其他,1,0.9962,女装,3
脚踏,其他,1,0.7344,母婴,2
钢琴,其他,1,0.6879,母婴,2
见面,其他,1,0,母婴,2
实用,其他,1,0,母婴,2
满月,其他,1,0.7738,母婴,2
黄鸭手,其他,1,1.0868,母婴,3
智力,其他,1,0.7266,母婴,2
安抚,功能词,1,0,母婴,2
星星,其他,1,0,母婴,2
启蒙,功能词,1,0.8725,母婴,2
安静,其他,1,0,母婴,2
撕书,其他,1,1.1955,母婴,2
趣味,其他,1,0.8931,母婴,2
魔术,其他,1,0.9726,母婴,2
科巢,其他,1,1.1955,母婴,2
以上,其他,1,0,母婴,2
隔尿垫,品类词,1,0.8539,母婴,3
可洗,其他,1,0.8539,母婴,2
尺寸,其他,1,0,母婴,2
床单,其他,1,0.6905,母婴,2
姨妈,其他,1,0.6874,母婴,2
床垫,其他,1,0.7575,母婴,2
包屁衣,其他,1,0.9196,母婴,3
哈衣,其他,1,0.9196,母婴,2
包单,其他,1,0.9196,母婴,2
襁褓,其他,1,0,母婴,2
裹布,其他,1,0.9196,母婴,2
盖毯,其他,1,0.9196,母婴,2
产房,其他,1,0.8428,母婴,2
包巾,其他,1,0.9003,母婴,2
春夏,季节词,1,0,母婴,2
袜子,其他,1,0.6415,母婴,2
夏天,其他,1,0,母婴,2
网眼,其他,1,0.8779,母婴,2
长筒袜,其他,1,0.9434,母婴,3
防蚊,功能词,1,0.8539,母婴,2
正版,其他,1,0.867,母婴,2
躲猫猫,其他,1,0.9385,母婴,3
大象,其他,1,0,母婴,2
玩偶,其他,1,0.8722,母婴,2
学说话,其他,1,1.1006,母婴,3
哄娃,其他,1,0.9962,母婴,2
公仔,其他,1,1.1584,母婴,2
好玩,其他,1,1.0011,母婴,2
翻翻,其他,1,1.0633,母婴,2
洞洞,其他,1,1.2887,母婴,2
触摸,其他,1,1.0253,母婴,2
推拉,其他,1,1.2684,母婴,2
方巾,其他,1,0.9137,母婴,2
口水,其他,1,0.8248,母婴,2
纱布,其他,1,0.8507,母婴,2
洗脸,其他,1,0.7886,母婴,2
儿童用品,其他,1,1.2007,母婴,4
库洛米,其他,1,0.9962,家居日用,3
卡通,其他,1,0.8807,家居日用,2
三丽鸥,其他,1,0.9962,家居日用,3
